participantId,DonutChart1,DonutChart2,DonutChart3,DonutChart4,DonutChart5,DonutChart6,DonutChart7,DonutChart8,DonutChart9,DonutChart10,DonutChart11,DonutChart12,PieChart1,PieChart2,PieChart3,PieChart4,PieChart5,PieChart6,PieChart7,PieChart8,PieChart9,PieChart10,PieChart11,PieChart12,StackedBarChart1,StackedBarChart2,StackedBarChart3,StackedBarChart4,StackedBarChart5,StackedBarChart6,StackedBarChart7,StackedBarChart8,StackedBarChart9,StackedBarChart10,StackedBarChart11,StackedBarChart12,TreeMap1,TreeMap2,TreeMap3,TreeMap4,TreeMap5,TreeMap6,TreeMap7,TreeMap8,TreeMap9,TreeMap10,TreeMap11,TreeMap12
176ROwHUE5I5wFcKITdr,,,,,,,85.0,,60.0,,,,60.0,,,55.0,92.0,,85.0,,60.0,,15.0,60.0,15.0,65.0,,30.0,,,,,55.0,,,,70.0,,,95.0,20.0,,50.0,,55.0,,20.0,65.0
1MNVFgL928veMZSTbfLZ,,,60.0,,,60.0,60.0,,40.0,,,,,,,90.0,40.0,,,,,,,50.0,30.0,,,,,,,50.0,80.0,,,,,,,,,,,,,,,40.0
1eDn4t1DP3DDlEDGSJAs,55.0,,,,,,,,75.0,,,,,,,,2.0,,,95.0,,,50.0,,,,,75.0,,70.0,,,,60.0,,80.0,,,,100.0,,,,70.0,,50.0,,
28NGbcFKSgbVT9JkemVD,,,,,,15.0,15.0,,20.0,20.0,,20.0,,20.0,,20.0,,50.0,,35.0,,0.0,20.0,20.0,10.0,20.0,,30.0,10.0,,,,,20.0,,,20.0,,,,20.0,,,,,,20.0,
2BCzvnvYslckPOQqnQes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4gSikdAFz7rHwWQ5iW2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650gLH4HgRQ3v6CMhEPj,,,,50.0,80.0,,,,80.0,80.0,,85.0,50.0,,,,,,,90.0,,90.0,50.0,60.0,25.0,20.0,,,,,15.0,,,30.0,,,,40.0,,90.0,40.0,,,,60.0,50.0,40.0,
6JPSZanfVTH1cbL9nmir,,100.0,,,,,,,,,,60.0,70.0,,,,60.0,,70.0,50.0,,,30.0,80.0,70.0,50.0,50.0,80.0,40.0,60.0,,,,80.0,,,,50.0,,,30.0,40.0,,,,25.0,,80.0
6f5Zu69gDJ6cCesZe6CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3Ks9BdQJJRE14RjEXym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRvUziBJQSCuvvY0cVir,,60.0,55.0,,,100.0,90.0,100.0,,70.0,33.0,45.0,,,,,80.0,,80.0,100.0,,,,50.0,60.0,,,,80.0,,,20.0,,70.0,,,70.0,30.0,,,,70.0,,80.0,,,,
BjYXY904k8b6K0MRaPkq,70.0,80.0,,40.0,,95.0,,,40.0,,,40.0,,,,,,90.0,,,,70.0,24.0,,,30.0,,,,50.0,70.0,20.0,,,50.0,75.0,,25.0,,,25.0,,,50.0,100.0,,,40.0
CgIQwX09QHeyRLM9UgV7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ee8HmuXZqZv0IwYLF2W0,,,,,,,90.0,,,75.0,40.0,,80.0,,90.0,,95.0,,95.0,,,85.0,,85.0,60.0,,30.0,,50.0,,70.0,,,,,90.0,,50.0,,,30.0,55.0,,,70.0,,35.0,60.0
F2B36lWYulDI6g74UMHz,,,,,,100.0,95.0,90.0,,,,,,,,60.0,90.0,100.0,95.0,,,,,,,,,,40.0,60.0,80.0,25.0,70.0,,,90.0,,50.0,,,25.0,,50.0,,40.0,20.0,20.0,80.0
FFxfGzYalbZTwjmmO0VW,,55.0,60.0,,75.0,,,,,,40.0,,,,35.0,35.0,,,45.0,55.0,40.0,,50.0,65.0,,70.0,60.0,70.0,,60.0,,,55.0,,,,60.0,50.0,35.0,,,,,,70.0,,,
G2NW5mxwDVyBviCF1Lon,,,0.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI489VlHax1r1RpxQicC,60.0,95.0,,50.0,90.0,,,,,,50.0,,80.0,90.0,,,,,100.0,,,90.0,,70.0,,20.0,10.0,35.0,,,,60.0,70.0,80.0,,,,,,,20.0,,,80.0,,40.0,,80.0
HSreY5UDScZtXyQplfEJ,80.0,,,,,,,60.0,,,,,35.0,,60.0,80.0,,,90.0,90.0,,75.0,,80.0,50.0,,,8.0,,,,20.0,50.0,67.0,50.0,75.0,,70.0,,,12.0,80.0,60.0,,,,,
HUtUJCSexG3BVzkdJnoZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JinVosNIGRk3E8KvXueo,37.0,,,,50.0,,60.0,,,45.0,35.0,66.0,60.0,80.0,33.0,,,,,,,,25.0,75.0,50.0,45.0,,,,,,,50.0,,,90.0,,,,,20.0,45.0,,50.0,,66.0,,80.0
JknypXmCKfaxXN5z1KDh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KaVQkMdwIetGagIIy6u3,,,,85.0,45.0,,78.0,30.0,,,,55.0,45.0,,,89.0,,78.0,,89.0,26.0,89.0,,,,,89.0,,78.0,,,,,89.0,,12.0,,,78.0,,,89.0,89.0,,41.0,14.0,,
LQqqeEkr5MH2a8CcUGNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PzgNEzdL1TnkaJkXCjBZ,60.0,,,,,,80.0,,80.0,80.0,,,,,,60.0,,,,,90.0,80.0,,,,,,80.0,60.0,50.0,80.0,40.0,,,50.0,90.0,50.0,,,70.0,30.0,60.0,40.0,,,,,70.0
SP79drIF3ezFXSO0SjDF,,75.0,,46.0,,,,,60.0,70.0,33.0,,,90.0,,50.0,,,,90.0,,90.0,,,,,20.0,42.0,,40.0,80.0,,,65.0,,80.0,,30.0,25.0,,,70.0,,,65.0,,33.0,
SRKfZgZhWWcazOSMOl9I,,,,,,,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,0.0,,,
TrpmxbKpW29DcP9AvikP,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,50.0,,,,50.0,,,,,50.0,,,50.0,,,,,,,,
V2BBGCH2R0cDVw4tIw9c,20.0,23.0,1.0,,30.0,20.0,15.0,,,,,,35.0,,,20.0,,,,45.0,,,45.0,,20.0,25.0,,,,,,,,,15.0,40.0,30.0,,,25.0,15.0,,25.0,50.0,2.0,,,
