Index,Vis,ReportedPercent
1,TreeMap1,70.0
2,TreeMap1,20.0
3,TreeMap1,70.0
4,TreeMap1,60.0
5,TreeMap1,50.0
6,TreeMap1,50.0
7,TreeMap1,30.0
8,TreeMap1,50.0
9,TreeMap1,6.0
10,TreeMap1,70.0
11,PieChart1,60.0
12,PieChart1,50.0
13,PieChart1,70.0
14,PieChart1,80.0
15,PieChart1,100.0
16,PieChart1,80.0
17,PieChart1,35.0
18,PieChart1,60.0
19,PieChart1,45.0
20,PieChart1,35.0
21,PieChart1,70.0
22,PieChart1,70.0
23,PieChart1,30.0
24,PieChart1,54.0
25,PieChart1,9.0
26,PieChart1,60.0
27,PieChart5,92.0
28,PieChart5,40.0
29,PieChart5,2.0
30,PieChart5,60.0
31,PieChart5,80.0
32,PieChart5,95.0
33,PieChart5,90.0
34,PieChart5,100.0
35,PieChart5,100.0
36,PieChart5,60.0
37,PieChart5,40.0
38,PieChart5,9.0
39,TreeMap4,95.0
40,TreeMap4,100.0
41,TreeMap4,90.0
42,TreeMap4,70.0
43,TreeMap4,50.0
44,TreeMap4,25.0
45,TreeMap4,60.0
46,TreeMap4,20.0
47,TreeMap4,89.0
48,TreeMap4,100.0
49,PieChart12,60.0
50,PieChart12,50.0
51,PieChart12,20.0
52,PieChart12,60.0
53,PieChart12,80.0
54,PieChart12,50.0
55,PieChart12,85.0
56,PieChart12,65.0
57,PieChart12,70.0
58,PieChart12,80.0
59,PieChart12,75.0
60,PieChart12,70.0
61,PieChart12,70.0
62,PieChart12,40.0
63,PieChart12,50.0
64,PieChart12,47.0
65,PieChart12,50.0
66,PieChart11,15.0
67,PieChart11,50.0
68,PieChart11,20.0
69,PieChart11,50.0
70,PieChart11,30.0
71,PieChart11,24.0
72,PieChart11,50.0
73,PieChart11,25.0
74,PieChart11,45.0
75,PieChart11,33.0
76,PieChart11,30.0
77,PieChart11,50.0
78,PieChart11,30.0
79,PieChart11,95.0
80,PieChart11,40.0
81,TreeMap7,50.0
82,TreeMap7,50.0
83,TreeMap7,60.0
84,TreeMap7,89.0
85,TreeMap7,40.0
86,TreeMap7,25.0
87,TreeMap7,50.0
88,TreeMap7,40.0
89,TreeMap7,80.0
90,TreeMap7,50.0
91,DonutChart7,85.0
92,DonutChart7,60.0
93,DonutChart7,15.0
94,DonutChart7,90.0
95,DonutChart7,90.0
96,DonutChart7,95.0
97,DonutChart7,60.0
98,DonutChart7,78.0
99,DonutChart7,80.0
100,DonutChart7,15.0
101,DonutChart7,89.0
102,DonutChart7,90.0
103,StackedBarChart1,15.0
104,StackedBarChart1,30.0
105,StackedBarChart1,10.0
106,StackedBarChart1,25.0
107,StackedBarChart1,70.0
108,StackedBarChart1,60.0
109,StackedBarChart1,60.0
110,StackedBarChart1,50.0
111,StackedBarChart1,50.0
112,StackedBarChart1,20.0
113,StackedBarChart1,50.0
114,StackedBarChart1,70.0
115,StackedBarChart1,50.0
116,StackedBarChart1,84.0
117,StackedBarChart1,50.0
118,StackedBarChart1,8.0
119,PieChart4,55.0
120,PieChart4,90.0
121,PieChart4,20.0
122,PieChart4,60.0
123,PieChart4,35.0
124,PieChart4,80.0
125,PieChart4,89.0
126,PieChart4,60.0
127,PieChart4,50.0
128,PieChart4,20.0
129,PieChart4,70.0
130,PieChart4,80.0
131,PieChart4,25.0
132,PieChart4,78.0
133,PieChart4,8.0
134,PieChart4,40.0
135,TreeMap12,65.0
136,TreeMap12,40.0
137,TreeMap12,80.0
138,TreeMap12,40.0
139,TreeMap12,60.0
140,TreeMap12,80.0
141,TreeMap12,80.0
142,TreeMap12,80.0
143,TreeMap12,70.0
144,TreeMap12,75.0
145,TreeMap12,80.0
146,TreeMap12,60.0
147,TreeMap12,50.0
148,TreeMap12,70.0
149,TreeMap12,40.0
150,PieChart7,85.0
151,PieChart7,70.0
152,PieChart7,80.0
153,PieChart7,95.0
154,PieChart7,95.0
155,PieChart7,45.0
156,PieChart7,100.0
157,PieChart7,90.0
158,PieChart7,75.0
159,PieChart7,80.0
160,PieChart7,85.0
161,PieChart7,30.0
162,StackedBarChart9,55.0
163,StackedBarChart9,80.0
164,StackedBarChart9,70.0
165,StackedBarChart9,55.0
166,StackedBarChart9,70.0
167,StackedBarChart9,50.0
168,StackedBarChart9,50.0
169,StackedBarChart9,65.0
170,StackedBarChart9,30.0
171,StackedBarChart9,12.0
172,StackedBarChart9,3.0
173,StackedBarChart9,60.0
174,DonutChart9,60.0
175,DonutChart9,40.0
176,DonutChart9,75.0
177,DonutChart9,20.0
178,DonutChart9,80.0
179,DonutChart9,40.0
180,DonutChart9,80.0
181,DonutChart9,60.0
182,DonutChart9,80.0
183,DonutChart9,46.0
184,DonutChart9,6.0
185,TreeMap9,55.0
186,TreeMap9,60.0
187,TreeMap9,100.0
188,TreeMap9,70.0
189,TreeMap9,40.0
190,TreeMap9,70.0
191,TreeMap9,41.0
192,TreeMap9,65.0
193,TreeMap9,2.0
194,TreeMap9,65.0
195,TreeMap9,35.0
196,StackedBarChart2,65.0
197,StackedBarChart2,20.0
198,StackedBarChart2,20.0
199,StackedBarChart2,50.0
200,StackedBarChart2,30.0
201,StackedBarChart2,70.0
202,StackedBarChart2,20.0
203,StackedBarChart2,45.0
204,StackedBarChart2,25.0
205,StackedBarChart2,60.0
206,StackedBarChart2,50.0
207,StackedBarChart2,80.0
208,StackedBarChart2,70.0
209,StackedBarChart2,20.0
210,StackedBarChart2,60.0
211,StackedBarChart2,56.0
212,StackedBarChart2,40.0
213,StackedBarChart2,50.0
214,TreeMap11,20.0
215,TreeMap11,20.0
216,TreeMap11,40.0
217,TreeMap11,35.0
218,TreeMap11,20.0
219,TreeMap11,33.0
220,TreeMap11,40.0
221,TreeMap11,50.0
222,TreeMap11,30.0
223,StackedBarChart4,30.0
224,StackedBarChart4,75.0
225,StackedBarChart4,30.0
226,StackedBarChart4,80.0
227,StackedBarChart4,70.0
228,StackedBarChart4,35.0
229,StackedBarChart4,8.0
230,StackedBarChart4,80.0
231,StackedBarChart4,42.0
232,StackedBarChart4,50.0
233,StackedBarChart4,80.0
234,StackedBarChart4,80.0
235,StackedBarChart4,40.0
236,StackedBarChart4,40.0
237,StackedBarChart4,80.0
238,TreeMap5,20.0
239,TreeMap5,20.0
240,TreeMap5,40.0
241,TreeMap5,30.0
242,TreeMap5,25.0
243,TreeMap5,30.0
244,TreeMap5,25.0
245,TreeMap5,20.0
246,TreeMap5,12.0
247,TreeMap5,20.0
248,TreeMap5,30.0
249,TreeMap5,15.0
250,TreeMap5,30.0
251,TreeMap5,10.0
252,TreeMap5,30.0
253,TreeMap5,56.0
254,TreeMap5,7.0
255,TreeMap5,20.0
256,PieChart9,60.0
257,PieChart9,40.0
258,PieChart9,26.0
259,PieChart9,90.0
260,PieChart9,70.0
261,PieChart9,30.0
262,PieChart9,50.0
263,PieChart9,75.0
264,PieChart9,70.0
265,PieChart9,60.0
266,PieChart9,6.0
267,PieChart9,70.0
268,DonutChart3,60.0
269,DonutChart3,55.0
270,DonutChart3,60.0
271,DonutChart3,80.0
272,DonutChart3,75.0
273,DonutChart3,89.0
274,DonutChart3,68.0
275,DonutChart3,33.0
276,DonutChart6,60.0
277,DonutChart6,15.0
278,DonutChart6,100.0
279,DonutChart6,95.0
280,DonutChart6,100.0
281,DonutChart6,20.0
282,DonutChart6,95.0
283,DonutChart6,40.0
284,StackedBarChart8,50.0
285,StackedBarChart8,20.0
286,StackedBarChart8,20.0
287,StackedBarChart8,25.0
288,StackedBarChart8,60.0
289,StackedBarChart8,20.0
290,StackedBarChart8,40.0
291,StackedBarChart8,50.0
292,StackedBarChart8,30.0
293,StackedBarChart8,20.0
294,StackedBarChart8,80.0
295,StackedBarChart8,33.0
296,StackedBarChart8,56.0
297,PieChart8,95.0
