Vis;TruePercent
TreeMap1;0,67
TreeMap2;0,50
TreeMap3;0,33
TreeMap4;0,88
TreeMap5;0,29
TreeMap6;0,63
TreeMap7;0,50
TreeMap8;0,75
TreeMap9;0,67
TreeMap10;0,50
TreeMap11;0,40
TreeMap12;0,71
PieChart1;0,67
PieChart2;0,83
PieChart3;0,75
PieChart4;0,60
PieChart5;0,80
PieChart6;1,00
PieChart7;0,50
PieChart8;0,90
PieChart9;0,70
PieChart10;0,75
PieChart11;0,50
PieChart12;0,58
DonutChart1;0,67
DonutChart2;0,83
DonutChart3;0,75
DonutChart4;0,60
DonutChart5;0,80
DonutChart6;1,00
DonutChart7;0,86
DonutChart8;0,90
DonutChart9;0,70
DonutChart10;0,75
DonutChart11;0,50
DonutChart12;0,58
StackedBarChart1;0,60
StackedBarChart2;0,67
StackedBarChart3;0,40
StackedBarChart4;0,75
StackedBarChart5;0,50
StackedBarChart6;0,67
StackedBarChart7;0,75
StackedBarChart8;0,33
StackedBarChart9;0,67
StackedBarChart10;0,78
StackedBarChart11;0,53
StackedBarChart12;0,83
