Index,Vis,ReportedPercent,TruePercent,Error
1,TreeMap1,70.0,67,1.64
2,TreeMap1,20.0,67,5.56
3,TreeMap1,70.0,67,1.64
4,TreeMap1,60.0,67,2.83
5,TreeMap1,50.0,67,4.1
6,TreeMap1,50.0,67,4.1
7,TreeMap1,30.0,67,5.21
8,TreeMap1,50.0,67,4.1
9,TreeMap1,6.0,67,5.93
10,TreeMap1,70.0,67,1.64
11,PieChart1,60.0,67,2.83
12,PieChart1,50.0,67,4.1
13,PieChart1,70.0,67,1.64
14,PieChart1,80.0,67,3.71
15,PieChart1,100.0,67,5.05
16,PieChart1,80.0,67,3.71
17,PieChart1,35.0,67,5.01
18,PieChart1,60.0,67,2.83
19,PieChart1,45.0,67,4.47
20,PieChart1,35.0,67,5.01
21,PieChart1,70.0,67,1.64
22,PieChart1,70.0,67,1.64
23,PieChart1,30.0,67,5.21
24,PieChart1,54.0,67,3.71
25,PieChart1,9.0,67,5.86
26,PieChart1,60.0,67,2.83
27,PieChart5,92.0,80,3.6
28,PieChart5,40.0,80,5.33
29,PieChart5,2.0,80,6.29
30,PieChart5,60.0,80,4.33
31,PieChart5,80.0,80,0.0
32,PieChart5,95.0,80,3.92
33,PieChart5,90.0,80,3.34
34,PieChart5,100.0,80,4.33
35,PieChart5,100.0,80,4.33
36,PieChart5,60.0,80,4.33
37,PieChart5,40.0,80,5.33
38,PieChart5,9.0,80,6.15
39,TreeMap4,95.0,88,2.83
40,TreeMap4,100.0,88,3.6
41,TreeMap4,90.0,88,1.09
42,TreeMap4,70.0,88,4.18
43,TreeMap4,50.0,88,5.25
44,TreeMap4,25.0,88,5.98
45,TreeMap4,60.0,88,4.81
46,TreeMap4,20.0,88,6.09
47,TreeMap4,89.0,88,0.17
48,TreeMap4,100.0,88,3.6
49,PieChart12,60.0,57,1.64
50,PieChart12,50.0,57,2.83
51,PieChart12,20.0,57,5.21
52,PieChart12,60.0,57,1.64
53,PieChart12,80.0,57,4.53
54,PieChart12,50.0,57,2.83
55,PieChart12,85.0,57,4.81
56,PieChart12,65.0,57,3.02
57,PieChart12,70.0,57,3.71
58,PieChart12,80.0,57,4.53
59,PieChart12,75.0,57,4.18
60,PieChart12,70.0,57,3.71
61,PieChart12,70.0,57,3.71
62,PieChart12,40.0,57,4.1
63,PieChart12,50.0,57,2.83
64,PieChart12,47.0,57,3.34
65,PieChart12,50.0,57,2.83
66,PieChart11,15.0,50,5.13
67,PieChart11,50.0,50,0.0
68,PieChart11,20.0,50,4.91
69,PieChart11,50.0,50,0.0
70,PieChart11,30.0,50,4.33
71,PieChart11,24.0,50,4.71
72,PieChart11,50.0,50,0.0
73,PieChart11,25.0,50,4.65
74,PieChart11,45.0,50,2.36
75,PieChart11,33.0,50,4.1
76,PieChart11,30.0,50,4.33
77,PieChart11,50.0,50,0.0
78,PieChart11,30.0,50,4.33
79,PieChart11,95.0,50,5.5
80,PieChart11,40.0,50,3.34
81,TreeMap7,50.0,50,0.0
82,TreeMap7,50.0,50,0.0
83,TreeMap7,60.0,50,3.34
84,TreeMap7,89.0,50,5.29
85,TreeMap7,40.0,50,3.34
86,TreeMap7,25.0,50,4.65
87,TreeMap7,50.0,50,0.0
88,TreeMap7,40.0,50,3.34
89,TreeMap7,80.0,50,4.91
90,TreeMap7,50.0,50,0.0
91,DonutChart7,85.0,86,0.17
92,DonutChart7,60.0,86,4.71
93,DonutChart7,15.0,86,6.15
94,DonutChart7,90.0,86,2.04
95,DonutChart7,90.0,86,2.04
96,DonutChart7,95.0,86,3.19
97,DonutChart7,60.0,86,4.71
98,DonutChart7,78.0,86,3.02
99,DonutChart7,80.0,86,2.61
100,DonutChart7,15.0,86,6.15
101,DonutChart7,89.0,86,1.64
102,DonutChart7,90.0,86,2.04
103,StackedBarChart1,15.0,60,5.5
104,StackedBarChart1,30.0,60,4.91
105,StackedBarChart1,10.0,60,5.65
106,StackedBarChart1,25.0,60,5.13
107,StackedBarChart1,70.0,60,3.34
108,StackedBarChart1,60.0,60,0.0
109,StackedBarChart1,60.0,60,0.0
110,StackedBarChart1,50.0,60,3.34
111,StackedBarChart1,50.0,60,3.34
112,StackedBarChart1,20.0,60,5.33
113,StackedBarChart1,50.0,60,3.34
114,StackedBarChart1,70.0,60,3.34
115,StackedBarChart1,50.0,60,3.34
116,StackedBarChart1,84.0,60,4.59
117,StackedBarChart1,50.0,60,3.34
